you:                           u
and:                           &
information:                   info
limousine:                     limo
maximum:                       max
minimum:                       min
as soon as possible:           ASAP
tomorrow:                      2moro
it is:                         it's
do not:                        don't
cannot:                        can't
you will:                      you'll
januar:                        jan.
february:                      feb.
marts:                         mar.
april:                         apr.
august:                        aug.
september:                     sept.
october:                       oct.
november:                      nov.
december:                      dec.
we are:                        we're
are not:                       aren't
is not:                        isn't
I am:                          i'm
who is:                        who's
who has:                       who's
they are:                      they're
let us:                        let's
would have:                    whould've
also known as:                 AKA
oh my god:                     omg
laughing out loud:             LOL
right now:                     RN
wait:                          w8
estimated time of arrival:     ETA
alabama:	                   AL
alaska:	                       AK
arizona:                       AZ
arkansas:	                   AR
california:	                   CA
colorado:                      CO
connecticut:	               CT
delaware:	                   DE
florida:	                   FL
georgia:	                   GA
hawaii:	                       HI
idaho:	                       ID
illinois:	                   IL
indiana:	                   IN
iowa:	                       IA
kansas:	                       KS
kentucky:	                   KY
louisiana:	                   LA
maine:	                       ME
maryland:                      MD
massachusetts:	               MA
michigan:                      MI
minnesota:                     MN
mississippi:                   MS
missouri:                      MO
montana:                       MT
nebraska:                      NE
nevada:	                       NV
new Hampshire:                 NH
new Jersey:                    NJ
new Mexico:                    NM
new York:                      NY
north Carolina:                NC
north Dakota:                  ND
ohio:                          OH
oklahoma:                      OK
oregon:                        OR
pennsylvania:                  PA
rhode Island:                  RI
south Carolina:                SC
south Dakota:                  SD
tennessee:                     TN
texas:                         TX
utah:                          UT
vermont:                       VT
virginia:                      VA
washington:	                   WA
west Virginia:                 WV
wisconsin:                     WI
wyoming:                       WY
ammunition:                    amo
introduction:                  info
laboratory:                    lab
christmas:                     Xmas
gallon:                        gal
gallons:                       gals
pound:                         lb
pounds:                        lb
boulevard:                     blvd
avenue:                        ave
street:                        st
be right back:                 brb
late:                          l8
doctor:                        Dr.
professor:                     prof
adjective:                     adj.
adjectival:                    adj.
adverb:                        adv.
adverbial:                     adv.
document:                      doc
documents:                     docs
edition:                       ed.
especially:                    esp
family:                        Fam
language:                      lang
noun:                          n.
new South Wales:               N.S.W
objective:                     obj.
original:                      orig.
person:                        pers.
persons:                       pers.
monday:                        mon.
tuesday:                       tues.
wednesday:                     wed.
thursday:                      thurs.
friday:                        fri.
saturday:                      sat.
sunday:                        sun.
dollar:                        $
dollars:                       $
minute:                        min
second:                        sec
minutes:                       min
seconds:                       sec
year:                          yr
